Time,Sentiment
01/01/2021 16:26,1
01/01/2021 16:31,-1
01/01/2021 16:36,1
01/01/2021 16:41,1
01/01/2021 16:46,1
01/01/2021 16:51,1
01/01/2021 16:56,0
01/01/2021 17:01,1
01/01/2021 17:06,1
01/01/2021 17:11,1
01/01/2021 17:16,1
01/01/2021 17:22,1
01/01/2021 17:27,1
01/01/2021 17:32,1
01/01/2021 17:37,1
01/01/2021 17:42,-1
01/01/2021 17:47,1
01/01/2021 17:52,1
01/01/2021 17:57,1
01/01/2021 18:03,1
01/01/2021 18:08,0
01/01/2021 18:13,-1
01/01/2021 18:18,1
01/01/2021 18:23,1
01/01/2021 18:28,1
01/01/2021 18:33,1
01/01/2021 18:38,1
01/01/2021 18:43,1
01/01/2021 18:48,-1
01/01/2021 18:53,1
01/01/2021 18:59,1
01/01/2021 19:04,1
01/01/2021 19:09,1
01/01/2021 19:14,1
01/01/2021 19:19,1
01/01/2021 19:24,1
01/01/2021 19:29,1
01/01/2021 19:34,1
01/01/2021 19:39,1
01/01/2021 19:44,1
01/01/2021 19:49,1
01/01/2021 19:54,1
01/01/2021 19:59,1
01/01/2021 20:04,1
01/01/2021 20:09,1
01/01/2021 20:15,1
01/01/2021 20:20,1
01/01/2021 20:25,1
01/01/2021 20:30,1
01/01/2021 20:35,1
01/01/2021 20:40,1
01/01/2021 20:45,1
01/01/2021 20:50,1
01/01/2021 20:55,1
01/01/2021 21:00,1
01/01/2021 21:05,1
01/01/2021 21:10,1
01/01/2021 21:16,1
01/01/2021 21:21,-1
01/01/2021 21:26,1
01/01/2021 21:31,1
01/01/2021 21:36,-1
01/01/2021 21:41,1
01/01/2021 21:46,1
01/01/2021 21:51,-1
01/01/2021 21:56,-1
01/01/2021 22:01,1
01/01/2021 22:12,1
01/01/2021 22:17,1
01/01/2021 22:22,1
01/01/2021 22:27,-1
01/01/2021 22:32,1
01/01/2021 22:37,-1
01/01/2021 22:42,1
01/01/2021 22:47,-1
01/01/2021 22:52,1
01/01/2021 22:57,-1
01/01/2021 23:02,1
01/01/2021 23:07,1
01/01/2021 23:12,1
01/01/2021 23:18,1
01/01/2021 23:23,1
01/01/2021 23:28,1
01/01/2021 23:33,1
01/01/2021 23:38,1
01/01/2021 23:43,-1
01/01/2021 23:48,1
01/01/2021 23:53,1
01/01/2021 23:58,1
02/01/2021 00:03,1
02/01/2021 00:08,-1
02/01/2021 00:13,-1
02/01/2021 00:18,1
02/01/2021 00:23,1
02/01/2021 00:28,1
02/01/2021 00:33,1
02/01/2021 00:39,-1
02/01/2021 00:44,-1
02/01/2021 00:49,1
02/01/2021 00:54,1
02/01/2021 00:59,1
02/01/2021 01:04,1
02/01/2021 01:09,1
02/01/2021 01:14,1
02/01/2021 01:19,1
02/01/2021 01:24,1
02/01/2021 01:29,-1
02/01/2021 01:34,1
02/01/2021 01:39,-1
02/01/2021 01:44,1
02/01/2021 01:49,1
02/01/2021 01:54,1
02/01/2021 01:59,1
02/01/2021 02:05,-1
02/01/2021 02:10,-1
02/01/2021 02:15,1
02/01/2021 02:20,1
02/01/2021 02:25,-1
02/01/2021 02:30,1
02/01/2021 02:35,1
02/01/2021 02:40,1
02/01/2021 02:45,-1
02/01/2021 02:50,-1
02/01/2021 02:55,-1
02/01/2021 03:00,-1
02/01/2021 03:05,-1
02/01/2021 03:10,1
02/01/2021 03:15,-1
02/01/2021 03:20,-1
02/01/2021 03:25,-1
02/01/2021 03:30,-1
02/01/2021 03:35,1
02/01/2021 03:40,-1
02/01/2021 03:45,-1
02/01/2021 03:50,-1
02/01/2021 03:55,1
02/01/2021 04:00,-1
02/01/2021 04:05,1
02/01/2021 04:10,1
02/01/2021 04:16,1
02/01/2021 04:21,1
02/01/2021 04:26,-1
02/01/2021 04:31,-1
02/01/2021 04:36,1
02/01/2021 04:41,1
02/01/2021 04:46,1
02/01/2021 04:51,1
02/01/2021 04:56,1
02/01/2021 05:01,-1
02/01/2021 05:06,1
02/01/2021 05:11,1
02/01/2021 05:16,-1
02/01/2021 05:21,1
02/01/2021 05:26,0
02/01/2021 05:31,1
02/01/2021 05:36,1
02/01/2021 05:41,1
02/01/2021 05:46,1
02/01/2021 05:51,1
02/01/2021 05:56,1
02/01/2021 06:01,1
02/01/2021 06:06,-1
02/01/2021 06:11,1
02/01/2021 06:16,1
02/01/2021 06:21,-1
02/01/2021 06:26,-1
02/01/2021 06:31,1
02/01/2021 06:37,0
02/01/2021 06:42,-1
02/01/2021 06:47,1
02/01/2021 06:52,1
02/01/2021 06:57,1
02/01/2021 07:02,1
02/01/2021 07:07,1
02/01/2021 07:12,-1
02/01/2021 07:17,1
02/01/2021 07:22,1
02/01/2021 07:27,1
02/01/2021 07:32,1
02/01/2021 07:37,1
02/01/2021 07:42,-1
02/01/2021 07:47,1
02/01/2021 07:52,1
02/01/2021 07:57,1
02/01/2021 08:02,0
02/01/2021 08:07,-1
02/01/2021 08:12,1
02/01/2021 08:17,-1
02/01/2021 08:22,1
02/01/2021 08:27,1
02/01/2021 08:32,1
02/01/2021 08:37,1
02/01/2021 08:42,1
02/01/2021 08:47,1
02/01/2021 08:52,-1
02/01/2021 08:57,1
02/01/2021 09:03,-1
02/01/2021 09:08,1
02/01/2021 09:13,1
02/01/2021 09:18,-1
02/01/2021 09:23,1
02/01/2021 09:28,1
02/01/2021 09:33,1
02/01/2021 09:38,-1
02/01/2021 09:43,1
02/01/2021 09:48,1
02/01/2021 09:53,1
02/01/2021 09:58,1
02/01/2021 10:03,1
02/01/2021 10:08,1
02/01/2021 10:13,1
02/01/2021 10:18,1
02/01/2021 10:23,1
02/01/2021 10:28,1
02/01/2021 10:33,1
02/01/2021 10:38,0
02/01/2021 10:43,1
02/01/2021 10:48,1
02/01/2021 10:54,1
02/01/2021 10:59,1
02/01/2021 11:04,1
02/01/2021 11:09,-1
02/01/2021 11:14,1
02/01/2021 11:19,1
02/01/2021 11:24,1
02/01/2021 11:29,1
02/01/2021 11:34,1
02/01/2021 11:39,1
02/01/2021 11:44,1
02/01/2021 11:49,1
02/01/2021 11:54,1
02/01/2021 11:59,1
02/01/2021 12:04,1
02/01/2021 12:09,1
02/01/2021 12:14,1
02/01/2021 12:19,1
02/01/2021 12:24,1
02/01/2021 12:30,1
02/01/2021 12:35,1
02/01/2021 12:40,1
02/01/2021 12:45,1
02/01/2021 12:50,-1
02/01/2021 12:55,1
